,Lat,Lng,Income
340,42.1764362,-84.3542049,55124.0
341,42.2278346,-85.52002399999999,56441.0
342,43.0097027,-85.52002399999999,66532.0
343,43.0482433,-83.1649001,66263.0
344,41.8433859,-84.01674229999999,53865.0
345,42.6207951,-83.8473015,86512.0
346,42.7168759,-82.82097399999999,64947.0
347,46.644579,-87.5593823,55148.0
348,43.57509779999999,-84.3542049,69872.0
349,41.9738893,-83.5070203,62839.0
350,43.2831969,-86.7416374,50366.0
351,42.59219239999999,-83.33618799999999,81190.0
352,42.95302299999999,-86.0937312,68817.0
353,43.4044253,-84.01674229999999,48303.0
354,43.016179,-82.6483442,59837.0
355,42.949754,-84.1857115,55249.0
356,42.2459665,-86.0121573,60549.0
357,42.3076493,-83.8473015,76576.0
358,42.2790746,-83.33618799999999,50753.0
359,45.3292832,-93.2197005,83353.0
360,43.9505132,-93.9878427,61133.0
361,44.82543099999999,-93.7841503,101434.0
362,46.5957987,-94.1401699,60534.0
363,44.731554,-93.17796589999999,88864.0
364,45.0208911,-93.5094574,82369.0
365,43.995179,-92.38136209999999,80096.0
366,44.9963986,-93.0615978,68871.0
367,44.2749995,-93.33889169999999,72469.0
368,47.7395106,-92.3623921,60434.0
369,44.6834072,-93.54079089999999,108761.0
370,45.4644612,-93.7298983,96210.0
371,45.5844792,-94.5865603,66558.0
372,44.8896877,-92.8577105,100596.0
373,45.1538202,-94.01909429999999,91707.0
374,34.9065453,-89.9626799,66078.0
375,31.2148677,-89.28472510000002,39063.0
376,30.432087,-89.0179332,50119.0
377,32.2648353,-90.37483540000001,44964.0
378,30.4278212,-88.55653099999999,52476.0
379,31.5343241,-89.1705998,37594.0
380,32.4401578,-88.7108964,37497.0
381,34.2354138,-88.7108964,49715.0
382,32.6729459,-90.0373201,68171.0
383,32.2653668,-89.9253233,67012.0
384,39.0468547,-92.38136209999999,57013.0
385,39.6349791,-94.81059549999999,46922.0
386,37.3821319,-89.62516459999999,57908.0
387,38.6574448,-94.315422,72819.0
388,36.99764400000001,-93.17796589999999,62765.0
389,39.3176186,-94.479976,70253.0
390,38.5052486,-92.2630393,61371.0
391,38.3953601,-91.13530200000001,60953.0
392,37.3311215,-93.5003454,43752.0
393,38.9914998,-94.315422,57936.0
394,37.17455650000001,-94.35651299999999,45010.0
395,38.2310301,-90.52578229999999,69009.0
396,39.34756489999999,-94.7691586,81712.0
397,38.7338885,-90.8294002,89146.0
398,37.7652755,-90.4879916,42390.0
399,38.6103023,-90.4125181,70022.0
400,38.6270025,-90.19940419999999,47176.0
401,47.4688355,-111.5453227,51227.0
402,48.424152,-114.15315,62588.0
403,45.5388865,-111.1194231,75418.0
404,47.2963974,-112.4029787,67616.0
405,47.0240503,-113.6869923,57347.0
406,45.78565769999999,-108.4343805,61186.0
407,41.3148116,-96.19513200000002,67133.0
408,40.8471492,-96.663812,61175.0
409,41.0744042,-96.19513200000002,83720.0
410,36.0795613,-115.094045,62107.0
411,40.5608387,-119.6035495,71881.0
412,42.9259375,-72.236379,66088.0
413,43.9087929,-71.825994,60588.0
414,42.83347939999999,-71.6673352,83626.0
415,43.2844846,-71.6673352,76218.0
416,42.9931261,-71.0497768,91249.0
417,43.238329,-71.0236044,71765.0
418,39.5333379,-74.6868815,63389.0
419,40.9262762,-74.07701,108827.0
420,39.8558488,-74.6868815,88797.0
421,39.8592439,-75.0143824,73672.0
422,39.105884,-74.8273184,69980.0
423,39.2587106,-75.06111469999999,54587.0
